,調査年,地域,F110801_非労働力人口（男）【人】,F110802_非労働力人口（女）【人】
353,1982,愛知県,,
354,1982,新潟県,,
355,1982,東京都,,
356,1982,栃木県,,
357,1982,沖縄県,,
358,1982,滋賀県,,
359,1982,熊本県,,
360,1982,石川県,,
361,1982,神奈川県,,
362,1982,福井県,,
363,1982,福岡県,,
364,1982,福島県,,
365,1982,秋田県,,
366,1982,群馬県,,
367,1982,茨城県,,
368,1982,長崎県,,
369,1982,長野県,,
370,1982,青森県,,
371,1982,静岡県,,
372,1982,香川県,,
373,1982,高知県,,
374,1982,鳥取県,,
375,1982,鹿児島県,,
376,1983,三重県,,
377,1983,京都府,,
378,1983,佐賀県,,
379,1983,兵庫県,,
380,1983,北海道,,
381,1983,千葉県,,
382,1983,和歌山県,,
383,1983,埼玉県,,
384,1983,大分県,,
385,1983,大阪府,,
386,1983,奈良県,,
387,1983,宮城県,,
388,1983,宮崎県,,
389,1983,富山県,,
390,1983,山口県,,
391,1983,山形県,,
392,1983,山梨県,,
393,1983,岐阜県,,
394,1983,岡山県,,
395,1983,岩手県,,
396,1983,島根県,,
397,1983,広島県,,
398,1983,徳島県,,
399,1983,愛媛県,,
400,1983,愛知県,,
401,1983,新潟県,,
402,1983,東京都,,
403,1983,栃木県,,
404,1983,沖縄県,,
405,1983,滋賀県,,
406,1983,熊本県,,
407,1983,石川県,,
408,1983,神奈川県,,
409,1983,福井県,,
410,1983,福岡県,,
411,1983,福島県,,
412,1983,秋田県,,
413,1983,群馬県,,
414,1983,茨城県,,
415,1983,長崎県,,
416,1983,長野県,,
417,1983,青森県,,
418,1983,静岡県,,
419,1983,香川県,,
420,1983,高知県,,
421,1983,鳥取県,,
422,1983,鹿児島県,,
423,1984,三重県,,
424,1984,京都府,,
425,1984,佐賀県,,
426,1984,兵庫県,,
427,1984,北海道,,
428,1984,千葉県,,
429,1984,和歌山県,,
430,1984,埼玉県,,
431,1984,大分県,,
432,1984,大阪府,,
433,1984,奈良県,,
434,1984,宮城県,,
435,1984,宮崎県,,
436,1984,富山県,,
437,1984,山口県,,
438,1984,山形県,,
439,1984,山梨県,,
440,1984,岐阜県,,
441,1984,岡山県,,
442,1984,岩手県,,
443,1984,島根県,,
444,1984,広島県,,
445,1984,徳島県,,
446,1984,愛媛県,,
447,1984,愛知県,,
448,1984,新潟県,,
449,1984,東京都,,
450,1984,栃木県,,
451,1984,沖縄県,,
452,1984,滋賀県,,
453,1984,熊本県,,
454,1984,石川県,,
455,1984,神奈川県,,
456,1984,福井県,,
457,1984,福岡県,,
458,1984,福島県,,
459,1984,秋田県,,
460,1984,群馬県,,
461,1984,茨城県,,
462,1984,長崎県,,
463,1984,長野県,,
464,1984,青森県,,
465,1984,静岡県,,
466,1984,香川県,,
467,1984,高知県,,
468,1984,鳥取県,,
469,1984,鹿児島県,,
470,1985,三重県,129937.0,369438.0
471,1985,京都府,209774.0,568458.0
472,1985,佐賀県,68627.0,180028.0
473,1985,兵庫県,385666.0,1237830.0
474,1985,北海道,425993.0,1285240.0
475,1985,千葉県,364798.0,1093811.0
476,1985,和歌山県,85276.0,256821.0
477,1985,埼玉県,405505.0,1213202.0
478,1985,大分県,100668.0,278143.0
479,1985,大阪府,634359.0,1958631.0
480,1985,奈良県,100682.0,329910.0
481,1985,宮城県,167082.0,454878.0
482,1985,宮崎県,89575.0,232538.0
483,1985,富山県,80858.0,210285.0
484,1985,山口県,123280.0,349475.0
485,1985,山形県,95376.0,242876.0
486,1985,山梨県,61707.0,168164.0
487,1985,岐阜県,139539.0,387166.0
488,1985,岡山県,141847.0,397146.0
489,1985,岩手県,103047.0,268194.0
490,1985,島根県,59418.0,148484.0
491,1985,広島県,208088.0,585353.0
492,1985,徳島県,68619.0,176381.0
493,1985,愛媛県,120811.0,331760.0
494,1985,愛知県,437408.0,1249246.0
495,1985,新潟県,184394.0,476481.0
496,1985,東京都,926426.0,2495618.0
497,1985,栃木県,126569.0,351870.0
498,1985,沖縄県,85857.0,248793.0
499,1985,滋賀県,78138.0,238892.0
500,1985,熊本県,159472.0,390145.0
501,1985,石川県,86590.0,213141.0
502,1985,神奈川県,534311.0,1627752.0
503,1985,福井県,56454.0,141700.0
504,1985,福岡県,402317.0,1083242.0
505,1985,福島県,151429.0,389413.0
506,1985,秋田県,95293.0,267479.0
507,1985,群馬県,129772.0,379678.0
508,1985,茨城県,192372.0,543130.0
509,1985,長崎県,133115.0,364666.0
510,1985,長野県,139563.0,382682.0
511,1985,青森県,111265.0,318277.0
512,1985,静岡県,224328.0,664885.0
513,1985,香川県,76862.0,211551.0
514,1985,高知県,69826.0,170655.0
515,1985,鳥取県,44955.0,109043.0
516,1985,鹿児島県,146623.0,400335.0
517,1986,三重県,,
518,1986,京都府,,
519,1986,佐賀県,,
520,1986,兵庫県,,
521,1986,北海道,,
522,1986,千葉県,,
523,1986,和歌山県,,
524,1986,埼玉県,,
525,1986,大分県,,
526,1986,大阪府,,
527,1986,奈良県,,
528,1986,宮城県,,
529,1986,宮崎県,,
530,1986,富山県,,
531,1986,山口県,,
532,1986,山形県,,
533,1986,山梨県,,
534,1986,岐阜県,,
535,1986,岡山県,,
536,1986,岩手県,,
537,1986,島根県,,
538,1986,広島県,,
539,1986,徳島県,,
540,1986,愛媛県,,
541,1986,愛知県,,
542,1986,新潟県,,
543,1986,東京都,,
544,1986,栃木県,,
545,1986,沖縄県,,
546,1986,滋賀県,,
547,1986,熊本県,,
548,1986,石川県,,
549,1986,神奈川県,,
550,1986,福井県,,
551,1986,福岡県,,
552,1986,福島県,,
553,1986,秋田県,,
554,1986,群馬県,,
