"tab_code","表章項目","area_code","地域2010","time_code","時間軸（調査年）","unit","value"
"104","人口密度","25000","滋賀県","2000000000","2000年","１km2当たり","334"
"104","人口密度","25000","滋賀県","2005000000","2005年","１km2当たり","344"
"104","人口密度","25000","滋賀県","2010000000","2010年","１km2当たり","351.2"
"104","人口密度","26000","京都府","1990000000","1990年","１km2当たり","564"
"104","人口密度","26000","京都府","1995000000","1995年","１km2当たり","570"
"104","人口密度","26000","京都府","2000000000","2000年","１km2当たり","573"
"104","人口密度","26000","京都府","2005000000","2005年","１km2当たり","574"
"104","人口密度","26000","京都府","2010000000","2010年","１km2当たり","571.4"
"104","人口密度","27000","大阪府","1990000000","1990年","１km2当たり","4637"
"104","人口密度","27000","大阪府","1995000000","1995年","１km2当たり","4650"
"104","人口密度","27000","大阪府","2000000000","2000年","１km2当たり","4652"
"104","人口密度","27000","大阪府","2005000000","2005年","１km2当たり","4655"
"104","人口密度","27000","大阪府","2010000000","2010年","１km2当たり","4669.7"
"104","人口密度","28000","兵庫県","1990000000","1990年","１km2当たり","645"
"104","人口密度","28000","兵庫県","1995000000","1995年","１km2当たり","644"
"104","人口密度","28000","兵庫県","2000000000","2000年","１km2当たり","661"
"104","人口密度","28000","兵庫県","2005000000","2005年","１km2当たり","666"
"104","人口密度","28000","兵庫県","2010000000","2010年","１km2当たり","665.6"
"104","人口密度","29000","奈良県","1990000000","1990年","１km2当たり","373"
"104","人口密度","29000","奈良県","1995000000","1995年","１km2当たり","388"
"104","人口密度","29000","奈良県","2000000000","2000年","１km2当たり","391"
"104","人口密度","29000","奈良県","2005000000","2005年","１km2当たり","385"
"104","人口密度","29000","奈良県","2010000000","2010年","１km2当たり","379.5"
"104","人口密度","30000","和歌山県","1990000000","1990年","１km2当たり","227"
"104","人口密度","30000","和歌山県","1995000000","1995年","１km2当たり","229"
"104","人口密度","30000","和歌山県","2000000000","2000年","１km2当たり","226"
"104","人口密度","30000","和歌山県","2005000000","2005年","１km2当たり","219"
"104","人口密度","30000","和歌山県","2010000000","2010年","１km2当たり","212"
